Distance_from_0,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48,Sample 49,Sample 50,Sample 51,Sample 52,Sample 53,Sample 54,Sample 55,Sample 56,Sample 57,Sample 58,Sample 59,Sample 60,Sample 61,Sample 62,Sample 63,Sample 64,Sample 65,Sample 66,Sample 67,Sample 68,Sample 69,Sample 70,Sample 71,Sample 72,Sample 73,Sample 74,Sample 75,Sample 76,Sample 77,Sample 78,Sample 79,Sample 80,Sample 81,Sample 82,Sample 83,Sample 84,Sample 85,Sample 86,Sample 87,Sample 88,Sample 89,Sample 90,Sample 91,Sample 92,Sample 93,Sample 94,Sample 95,Sample 96,Sample 97,Sample 98,Sample 99,Sample 100,Sample 101,Sample 102,Sample 103,Sample 104,Sample 105,Sample 106,MEAN,STD
0.42,5,3,6,6,5,1,3,5,8,2,3,4,4,9,9,3,3,3,5,9,3,3,6,8,7,5,9,4,5,4,3,8,8,8,6,4,8,6,9,7,5,6,8,8,8,3,9,10,12,6,3,8,9,5,4,12,6,4,6,6,3,10,7,1,4,3,2,8,10,13,10,4,5,3,8,6,9,4,7,4,6,10,5,7,7,7,5,7,5,7,5,6,4,7,6,3,5,4,9,9,11,5,11,4,4,3,6.018867925,2.581919301
0.43,5,2,6,5,6,1,2,5,7,3,3,4,4,11,5,4,4,1,6,6,2,1,5,8,9,5,8,3,5,4,3,9,6,3,6,4,6,7,8,5,4,6,8,6,8,4,9,8,12,7,6,6,10,6,3,11,8,6,6,6,3,6,7,3,6,6,5,5,16,14,7,7,6,3,6,5,8,4,6,5,5,9,5,7,6,5,5,5,6,8,9,7,3,6,4,3,3,5,8,8,9,6,10,4,4,1,5.811320755,2.593446714
0.44,5,2,8,5,4,1,2,5,9,3,2,3,5,11,5,5,2,1,4,4,3,2,5,9,10,4,7,4,5,4,4,7,9,8,7,3,8,7,6,8,5,7,7,7,9,3,10,12,8,7,5,9,8,6,3,11,7,6,8,8,4,8,7,2,6,8,3,6,14,10,9,5,8,3,8,6,10,6,6,7,7,11,4,6,7,9,4,6,6,8,5,7,3,6,7,3,5,9,8,6,12,3,10,5,5,1,6.141509434,2.684838132
0.45,5,2,7,3,4,1,2,4,10,2,4,2,3,16,6,5,4,1,5,4,3,2,5,7,8,4,9,6,3,5,3,5,7,5,6,4,8,6,7,8,5,4,6,9,8,4,9,16,9,9,5,11,6,4,4,12,8,6,6,5,2,8,5,2,4,6,5,5,10,8,3,5,6,3,7,6,6,4,10,6,5,7,7,9,7,9,6,7,7,7,7,5,3,6,4,2,4,5,7,7,9,6,7,4,4,4,5.783018868,2.686845263
0.46,5,3,5,3,2,1,3,7,6,2,4,5,3,10,6,5,5,1,5,4,2,2,4,8,9,4,6,7,6,4,4,4,6,5,7,6,8,5,7,8,4,8,6,8,8,5,9,8,9,7,6,7,9,5,5,8,8,6,6,5,4,10,7,3,10,3,6,4,10,10,3,7,7,3,6,6,5,4,8,5,5,5,5,10,7,8,6,5,10,7,7,6,4,6,3,3,3,5,8,7,10,8,6,3,3,4,5.745283019,2.234198784
0.47,4,2,7,3,4,1,2,7,4,2,4,3,3,8,5,3,3,1,4,3,1,2,4,7,9,5,7,6,6,4,4,4,6,6,8,5,7,5,10,9,4,6,7,9,9,5,8,9,10,8,3,8,9,5,3,9,8,7,5,9,2,7,4,2,6,4,6,4,10,10,3,13,9,3,7,8,5,5,7,5,6,8,7,7,7,8,3,6,7,4,7,5,4,5,3,3,4,6,8,8,13,6,10,3,3,3,5.688679245,2.579638984
0.48,4,3,7,3,4,1,2,6,7,3,4,3,3,10,4,6,4,1,4,2,3,2,5,7,9,6,7,6,5,4,4,4,6,4,5,4,8,7,7,6,3,4,8,6,8,5,10,9,15,7,4,7,7,4,4,8,8,8,5,6,2,8,5,1,6,8,7,4,10,9,5,9,8,3,10,10,6,4,5,4,3,6,7,8,7,6,6,6,8,6,6,5,5,6,4,2,4,6,8,7,14,10,7,3,3,4,5.726415094,2.543087808
0.49,5,2,8,3,2,1,2,5,6,3,5,4,3,9,4,3,4,1,3,2,1,1,3,6,11,5,5,6,5,5,3,5,5,5,8,4,6,6,6,9,3,3,7,10,8,3,8,10,20,6,3,10,6,6,5,9,6,9,4,5,3,7,6,1,6,5,6,4,11,7,4,7,10,5,9,6,7,4,5,4,6,8,4,8,6,6,8,7,6,6,5,6,6,5,3,2,1,7,6,7,12,6,7,4,4,5,5.556603774,2.794825793
0.5,7,4,8,3,4,1,2,5,7,4,5,5,2,8,5,4,4,1,3,4,3,2,3,7,8,3,3,6,7,4,4,4,7,6,8,4,8,5,7,6,5,4,5,10,9,3,11,7,15,7,3,9,6,7,3,11,6,6,5,5,3,6,6,1,6,5,5,4,10,9,7,8,10,4,9,5,10,4,6,3,6,6,4,7,7,5,6,4,6,5,8,6,6,7,3,2,1,6,9,6,12,7,12,3,3,6,5.679245283,2.602369506
0.51,5,4,8,3,5,1,2,5,5,2,5,3,2,9,4,3,4,1,4,3,2,1,2,5,13,4,5,7,6,5,2,6,6,7,9,5,6,4,6,7,7,3,7,11,7,2,12,8,14,4,4,10,6,5,3,10,8,5,6,7,2,7,6,3,7,5,7,3,10,11,2,6,7,6,7,8,10,4,5,5,5,9,3,6,7,8,5,5,6,5,6,5,6,5,5,2,3,8,10,7,10,6,10,1,1,6,5.622641509,2.747996084
0.52,5,5,8,3,3,1,2,3,7,2,4,4,2,8,4,3,3,1,3,2,1,1,4,5,10,4,6,8,4,3,2,3,5,7,7,7,5,5,5,8,2,4,6,5,8,2,9,11,15,6,4,11,8,5,6,9,10,6,6,8,3,4,8,1,7,4,5,3,8,8,5,6,6,7,10,6,8,3,6,7,3,7,4,11,7,10,6,6,9,6,7,6,5,5,5,3,1,4,11,8,11,5,6,3,3,3,5.509433962,2.757656987
0.53,6,7,6,3,2,1,2,3,6,3,4,3,2,9,4,5,3,1,3,2,2,1,3,5,10,3,6,8,7,3,3,5,7,9,6,7,6,2,5,8,2,5,7,5,8,3,11,6,11,6,4,11,7,7,4,12,7,7,6,9,3,6,5,3,6,5,5,3,10,11,3,7,9,6,8,8,7,4,7,6,3,6,3,8,6,7,6,4,4,6,5,5,5,5,6,3,2,5,9,10,9,4,7,3,3,3,5.452830189,2.549069206
0.54,4,5,7,3,2,1,2,5,4,4,4,5,2,10,5,4,5,2,5,4,1,1,3,4,9,4,5,9,5,3,4,7,10,9,7,5,3,3,5,9,4,4,7,4,9,2,11,8,13,6,4,10,5,3,9,8,11,8,7,7,5,7,4,2,9,2,3,5,8,9,5,10,6,3,5,5,6,4,5,7,4,7,3,7,7,10,6,6,5,7,6,5,3,5,5,3,2,6,9,8,12,4,7,2,2,3,5.5,2.644851243
0.55,5,5,8,4,4,1,2,5,5,3,4,7,2,9,3,8,2,2,5,4,1,2,3,5,9,6,2,10,5,5,4,6,12,5,4,3,4,3,8,7,3,5,7,6,6,3,11,14,9,6,5,7,5,4,5,10,10,4,6,8,3,5,2,1,7,3,4,4,10,11,4,10,7,3,7,5,7,4,5,7,3,5,4,8,7,6,7,4,8,6,7,6,7,3,5,2,2,4,8,9,13,4,7,4,4,2,5.471698113,2.698174152
0.56,6,5,7,4,3,2,2,2,4,4,2,6,2,12,4,4,4,3,3,5,3,1,3,5,8,7,2,6,4,4,4,8,8,9,5,4,5,3,7,7,4,4,9,6,6,4,10,12,19,6,6,9,6,4,11,10,10,7,7,9,3,5,3,1,8,4,5,5,5,8,8,8,8,4,7,7,3,4,4,9,3,5,3,8,7,10,5,3,7,6,7,4,3,5,5,2,3,6,10,10,10,4,10,2,2,3,5.641509434,2.918540664
0.57,4,6,6,4,2,2,2,2,4,3,2,8,2,14,2,5,4,3,5,5,2,2,2,4,7,4,3,7,6,5,4,7,9,6,6,4,5,3,7,8,3,5,9,8,7,4,8,9,13,6,6,8,4,3,8,8,9,7,8,8,4,7,3,1,11,4,7,6,7,12,6,7,7,4,6,5,5,4,6,9,3,5,4,9,8,9,8,4,6,7,5,4,4,4,4,2,3,4,13,9,8,4,8,3,3,4,5.594339623,2.661107188
0.58,5,4,5,3,6,2,3,3,4,4,2,6,2,10,4,9,3,3,3,5,2,1,2,5,6,4,4,7,6,5,3,8,8,6,7,5,4,4,6,8,2,4,8,7,6,4,5,7,17,6,5,9,5,4,7,7,5,5,7,9,2,4,3,4,12,3,5,5,8,11,8,6,8,4,6,5,5,4,5,7,2,5,7,8,7,7,6,3,8,6,6,4,4,5,3,3,3,5,15,8,9,5,6,2,2,4,5.41509434,2.625399469
0.59,3,5,6,2,4,2,3,3,3,5,2,9,2,11,3,7,4,3,5,5,2,1,3,5,8,5,4,4,5,7,4,9,9,5,5,4,5,3,7,8,5,3,10,7,5,5,5,7,13,7,6,9,4,5,10,9,7,6,7,10,3,5,4,4,11,4,5,3,8,11,8,7,8,4,5,4,3,5,4,6,6,5,3,9,7,11,3,4,6,5,6,5,4,5,3,3,2,4,14,6,10,6,7,2,2,4,5.509433962,2.626768005
0.6,5,5,7,2,6,2,3,3,3,5,2,7,2,9,6,6,4,3,5,4,2,1,3,5,8,6,5,5,4,7,3,7,7,7,5,4,4,3,7,5,4,4,9,6,6,5,8,6,15,5,6,8,4,4,9,11,9,6,7,9,2,6,7,2,9,3,5,3,7,11,6,4,7,4,3,5,4,5,3,8,5,3,3,9,7,10,7,3,6,6,6,4,4,6,3,2,3,6,13,5,9,5,5,2,2,5,5.386792453,2.509299863
0.61,4,4,4,2,5,2,3,2,3,5,2,7,2,10,3,8,5,3,5,4,5,2,2,6,8,6,5,5,8,8,4,6,7,9,5,4,4,3,6,7,3,3,8,5,3,7,8,8,13,9,9,7,5,4,7,14,10,3,6,6,2,8,8,2,9,8,2,3,7,8,6,6,6,4,3,3,4,5,4,6,4,3,3,8,7,13,6,3,7,7,6,4,4,4,3,4,2,5,12,6,9,6,5,4,4,5,5.462264151,2.597341235
0.62,4,4,5,2,7,2,3,3,3,5,2,8,2,10,5,8,3,3,5,5,5,2,3,4,6,5,5,3,6,5,4,8,8,7,6,4,4,3,6,6,4,3,7,6,3,7,7,6,17,5,8,9,6,6,12,12,10,3,5,6,2,8,4,3,9,5,3,3,9,10,6,7,8,4,3,4,3,5,3,8,4,5,3,8,8,10,6,4,6,8,6,3,4,3,3,4,3,7,14,7,12,4,5,4,4,4,5.537735849,2.750496157
0.63,5,4,5,1,5,2,3,4,4,7,2,8,2,7,6,7,3,3,3,5,5,2,3,4,6,8,5,5,4,6,4,8,6,6,6,4,5,4,6,6,3,3,7,4,2,8,11,9,20,6,6,5,6,5,11,8,9,4,6,6,4,9,4,4,9,4,3,4,5,9,8,5,7,4,4,4,4,5,4,7,3,5,3,8,9,10,6,4,7,5,8,3,4,3,3,3,4,3,12,9,6,4,3,4,4,4,5.396226415,2.64279522
0.64,4,4,5,1,6,2,3,4,3,5,2,7,3,9,5,9,3,3,5,4,4,2,3,4,7,7,6,5,5,7,5,8,7,5,5,5,2,3,3,4,3,5,9,5,2,7,7,8,15,4,7,7,8,5,12,10,8,5,5,5,2,10,5,3,9,3,3,5,5,8,8,4,7,4,5,4,3,4,4,6,3,3,3,7,9,8,8,3,5,5,6,3,4,3,3,3,5,5,14,9,10,3,4,6,6,3,5.320754717,2.561796876
0.65,6,4,7,1,6,3,3,4,2,5,2,7,3,7,4,7,5,3,5,5,4,2,2,3,8,5,5,4,8,9,7,8,7,6,7,4,4,3,4,4,3,3,9,5,2,9,7,7,15,6,8,9,5,4,12,11,7,3,6,3,3,9,4,5,8,4,4,8,6,4,6,4,6,3,3,6,3,4,3,5,3,6,4,6,9,7,6,3,7,4,5,3,3,2,3,2,4,4,10,9,8,5,4,4,4,5,5.235849057,2.432133638
0.66,6,4,5,1,5,4,3,4,2,5,2,8,3,8,3,6,4,3,4,4,4,2,3,3,6,5,6,6,7,8,7,7,6,5,7,4,2,3,5,4,3,2,9,3,2,7,8,7,14,4,9,9,4,4,11,12,8,3,6,4,3,8,5,5,10,3,4,8,7,4,5,3,6,3,3,4,4,5,3,6,3,5,3,7,9,5,7,3,8,3,3,3,2,2,3,4,5,3,12,6,8,5,5,4,4,3,5.066037736,2.466031583
0.67,7,3,5,1,5,3,3,4,2,4,2,8,3,8,4,5,4,3,5,4,5,2,2,3,6,5,5,5,10,14,4,8,7,6,7,4,3,3,3,5,3,5,10,4,2,8,7,8,12,2,10,7,4,4,10,14,5,3,7,5,3,10,5,4,10,3,3,6,7,7,6,4,6,3,3,4,4,3,3,4,3,5,4,5,8,6,5,4,7,3,3,2,3,2,3,4,5,2,13,5,12,6,5,4,4,5,5.150943396,2.721317793
0.68,6,3,6,1,5,5,2,4,2,4,2,10,2,11,4,4,4,3,6,4,5,2,3,3,7,7,7,4,8,9,4,8,7,7,7,5,2,3,3,4,3,4,10,7,2,5,5,6,7,6,7,6,4,5,11,11,6,4,5,6,3,11,5,3,8,4,3,4,8,8,4,4,8,3,3,4,5,3,4,4,3,2,4,7,5,6,5,3,7,2,2,2,3,2,4,6,4,4,18,4,8,5,5,3,3,4,5.028301887,2.612998814
0.69,5,4,6,1,4,4,2,4,2,4,2,8,2,8,3,5,3,3,5,5,5,2,3,3,6,5,6,6,5,7,4,8,5,8,6,4,2,3,4,3,3,4,8,6,2,5,7,8,8,4,7,6,5,5,12,13,7,2,5,3,2,9,7,3,10,3,3,5,8,9,6,3,6,3,3,4,7,4,2,5,3,4,3,8,6,5,5,3,9,2,2,2,3,2,3,5,4,3,15,4,7,4,5,4,4,3,4.858490566,2.489745366
0.7,3,6,7,1,5,4,1,3,2,4,2,6,2,8,4,4,3,3,5,5,7,2,3,3,5,5,5,5,4,9,3,7,5,6,7,4,3,4,3,4,3,5,9,7,2,5,6,6,16,3,8,9,5,5,11,18,5,2,3,4,2,8,5,3,9,3,2,4,5,9,7,3,5,3,3,5,5,4,5,5,3,5,4,6,6,5,4,5,5,2,3,1,3,2,5,5,4,5,14,5,7,4,3,3,3,5,4.867924528,2.746687951
0.71,6,4,7,1,4,4,1,3,2,4,2,7,2,8,3,5,4,3,4,4,4,2,3,3,5,5,6,3,6,10,2,8,7,8,6,4,2,2,2,4,3,3,7,6,2,4,8,7,16,4,7,6,6,6,9,21,5,3,3,7,3,5,6,3,11,3,3,3,6,9,7,3,4,2,3,4,3,4,4,4,3,5,6,5,7,6,5,4,5,2,2,1,3,3,4,6,4,6,11,4,6,4,3,4,4,4,4.811320755,2.858948217
0.72,5,3,8,1,4,4,1,3,2,4,2,5,2,6,3,5,3,4,4,5,5,2,4,2,5,4,5,6,6,10,2,7,8,6,12,5,3,3,4,5,4,4,6,5,2,3,8,7,11,6,8,8,4,5,6,17,8,2,4,7,2,4,7,4,9,4,2,4,5,6,6,3,4,3,3,7,2,4,3,4,3,5,5,5,10,4,4,5,5,2,2,3,3,3,5,7,4,4,19,3,7,3,4,4,4,6,4.886792453,2.802450474
0.73,4,3,5,2,5,5,1,3,2,5,2,6,1,8,3,7,4,4,5,4,4,3,4,2,6,3,5,4,7,8,2,4,8,4,9,3,4,3,4,5,4,3,8,4,1,3,10,6,8,4,9,9,3,6,5,11,5,3,4,5,3,5,6,4,7,3,3,5,5,7,5,4,6,3,3,5,3,4,3,5,3,5,8,5,8,4,2,6,6,2,2,3,3,3,4,8,4,5,19,3,10,4,7,4,4,5,4.79245283,2.50985479
0.74,3,3,5,2,5,4,1,2,1,4,2,5,1,8,3,5,4,4,5,4,5,2,5,2,6,4,11,5,7,5,2,6,8,6,8,5,2,6,5,2,4,3,10,4,2,3,10,4,8,5,7,8,3,4,5,14,8,2,4,7,2,5,5,3,7,4,3,4,6,8,4,2,5,3,2,6,3,4,1,5,4,4,5,4,7,4,4,6,2,2,2,3,3,3,3,9,4,4,10,3,4,5,3,3,3,4,4.509433962,2.343157345
0.75,3,3,5,3,4,4,1,2,1,3,2,5,1,8,2,6,4,4,5,4,4,2,4,2,7,3,9,5,5,8,2,6,7,4,8,3,2,4,4,3,4,4,11,4,2,3,10,4,7,5,6,7,3,4,6,14,10,2,4,7,3,5,5,4,6,6,2,3,4,7,6,3,4,3,2,6,5,3,3,4,4,3,3,3,7,4,3,4,3,2,2,3,3,3,4,7,4,4,13,3,8,5,3,3,3,3,4.433962264,2.374543035
0.76,3,3,8,3,3,4,1,2,1,4,2,6,1,6,2,5,4,4,4,5,4,2,4,1,6,4,7,5,6,5,2,5,9,5,6,5,2,2,5,4,4,4,8,4,2,3,9,5,8,5,7,10,3,6,7,17,10,2,3,8,3,5,6,3,6,4,2,3,5,7,4,4,3,3,2,2,6,3,3,4,4,3,4,3,7,4,2,5,3,2,2,3,3,3,4,4,4,4,8,3,6,5,7,3,3,3,4.386792453,2.356635029
0.77,3,3,9,2,3,4,1,2,1,3,2,6,1,8,2,5,4,4,4,5,4,2,5,1,8,3,5,5,6,5,2,5,6,5,8,2,3,2,4,4,4,4,8,4,2,3,8,5,8,4,6,10,2,4,6,14,15,2,3,5,2,6,4,4,6,4,2,2,3,7,5,4,3,2,2,1,6,3,5,3,4,3,3,3,7,4,3,4,4,2,2,3,3,3,4,5,4,4,5,4,6,5,6,3,3,3,4.226415094,2.359511729
0.78,2,3,6,2,3,4,1,2,1,2,2,6,1,5,4,4,4,4,3,5,5,4,3,1,7,4,4,4,7,5,2,5,7,4,8,2,2,2,5,4,5,4,9,4,3,3,6,2,11,3,5,11,2,4,7,10,12,2,4,6,3,5,5,3,8,4,2,2,4,5,4,6,4,2,2,3,5,3,5,3,4,3,5,3,4,4,4,5,6,2,2,3,3,3,5,7,5,4,6,4,7,4,3,3,3,3,4.198113208,2.135504006
0.79,3,3,6,2,2,4,1,2,1,2,2,5,1,7,4,6,3,4,3,4,4,3,4,1,5,2,5,5,5,5,3,5,5,3,7,2,3,2,4,3,2,5,7,2,3,3,6,5,10,4,4,14,2,4,7,10,7,2,3,5,3,3,6,3,4,4,2,2,6,4,5,4,3,2,2,4,3,3,6,3,4,5,2,4,9,4,4,3,5,2,2,3,3,4,4,5,4,4,8,4,10,4,3,4,4,3,4.047169811,2.112917529
0.8,3,3,6,2,2,3,1,2,1,2,2,5,1,6,4,8,4,4,3,5,4,3,4,1,6,2,5,4,5,5,3,5,7,2,7,2,2,2,5,3,2,4,8,6,3,2,6,5,9,5,7,11,3,5,5,9,7,3,3,6,3,4,4,3,5,4,2,2,7,5,5,5,3,2,2,2,3,3,4,3,4,5,2,3,6,4,3,4,5,2,2,3,3,4,3,5,4,5,9,4,9,4,5,4,4,3,4.08490566,1.981427694
0.81,3,4,5,2,2,3,1,2,0,2,2,2,1,3,4,6,3,4,3,5,4,3,3,1,6,4,9,5,5,4,3,4,7,3,8,3,2,2,3,5,3,5,6,4,3,2,7,5,10,5,8,8,4,5,9,13,5,3,3,7,3,3,4,4,4,5,2,3,6,5,5,6,4,3,2,2,3,3,4,2,4,2,3,2,4,4,4,3,4,2,2,3,2,6,3,6,4,5,10,4,12,4,3,5,5,2,4.122641509,2.24543062
0.82,3,4,5,2,2,4,1,2,0,2,2,2,1,4,4,6,3,4,3,5,3,3,3,1,4,2,6,5,4,4,3,6,6,3,6,2,2,2,4,5,2,5,6,3,3,2,7,5,8,3,7,9,3,6,6,11,6,2,3,12,2,3,4,4,4,4,2,2,4,5,5,7,4,2,2,2,3,3,3,2,4,2,3,4,5,4,4,3,6,2,2,4,2,5,4,7,3,5,7,4,10,6,4,6,6,2,3.990566038,2.095324878
0.83,3,3,4,2,1,3,1,1,0,2,2,2,1,6,4,5,3,3,3,5,3,3,4,1,5,2,8,5,3,3,3,6,6,3,8,3,2,6,4,5,3,4,9,3,3,2,8,4,8,3,7,7,3,4,8,13,3,2,3,8,2,4,4,4,4,4,2,2,3,6,4,5,3,3,2,2,6,4,4,2,4,3,3,3,5,4,4,3,4,2,2,3,2,4,3,4,3,4,11,4,7,5,6,4,4,3,3.924528302,2.123331225
0.84,4,2,3,2,1,3,2,1,0,2,2,2,1,5,4,4,3,3,3,4,3,3,3,1,4,2,5,4,6,3,2,4,5,3,10,2,3,6,3,4,3,7,7,4,3,2,5,4,13,3,6,9,4,5,7,11,6,2,3,6,2,2,4,4,4,4,2,2,3,5,3,4,3,4,2,2,5,3,4,2,4,3,3,3,6,4,6,5,4,2,2,4,2,3,5,4,1,4,15,4,10,3,5,4,4,3,3.905660377,2.356463459
0.85,5,1,4,2,1,3,1,1,0,2,2,2,1,6,4,6,3,2,2,5,3,3,3,1,4,3,5,4,4,3,2,3,7,3,9,1,2,6,3,3,3,5,7,3,3,2,4,4,8,3,3,6,3,5,7,17,5,2,4,9,2,2,3,4,4,4,2,2,4,5,3,8,3,2,2,1,5,3,4,1,4,3,3,3,6,4,7,3,7,2,2,3,2,3,4,4,1,4,12,4,13,6,4,4,4,3,3.839622642,2.545347923
0.86,3,1,3,2,0,3,2,1,0,3,2,2,0,6,4,5,2,2,1,3,2,3,5,1,4,3,4,5,4,4,2,4,7,2,7,1,2,3,4,3,3,7,7,3,4,1,4,5,7,6,2,6,3,4,7,17,4,2,4,6,2,2,3,3,4,4,2,2,5,3,2,6,4,2,2,3,6,3,4,1,4,2,3,3,7,2,6,4,6,2,2,5,2,4,4,3,1,4,14,3,8,8,3,4,4,3,3.688679245,2.450901516
0.87,4,1,3,2,0,2,2,1,0,3,2,2,0,7,4,5,1,2,1,1,2,3,5,1,4,1,5,5,4,4,2,4,6,3,8,2,3,5,5,3,2,8,6,4,4,1,4,4,6,6,3,6,3,4,8,13,7,2,3,5,2,2,3,3,3,4,2,2,4,4,2,6,4,2,3,3,5,3,4,1,4,2,4,3,6,2,6,4,4,2,2,4,2,4,4,3,1,4,7,3,6,11,3,4,4,3,3.594339623,2.132641116
0.88,4,1,2,2,0,1,2,0,0,2,2,3,0,8,4,4,2,2,1,2,1,3,4,1,4,1,6,4,2,4,2,2,6,4,9,2,2,2,3,3,2,8,8,3,5,1,5,5,8,5,3,5,3,3,8,17,7,1,2,4,2,2,3,3,3,4,1,2,3,3,2,4,3,3,2,2,4,3,3,1,4,2,3,4,5,2,4,5,3,2,2,4,2,6,4,2,1,4,10,3,10,6,4,4,4,3,3.452830189,2.47321682
0.89,4,1,2,1,0,1,2,0,0,3,2,2,0,7,4,5,3,1,1,2,1,3,4,1,4,1,6,4,2,4,2,4,4,3,9,2,2,2,3,4,2,3,9,4,5,1,5,4,7,4,2,6,4,4,10,21,8,1,2,5,2,1,3,3,3,4,2,4,3,3,2,2,4,4,2,2,5,3,4,0,4,3,5,5,7,2,5,5,3,2,3,4,2,6,4,2,0,3,10,3,10,7,3,4,4,2,3.556603774,2.774304507
0.9,4,1,3,1,0,1,2,0,0,2,2,2,0,6,4,4,3,0,1,2,1,3,4,2,4,1,6,5,2,4,1,4,4,3,7,2,2,2,3,3,2,5,6,4,5,1,5,4,12,3,2,5,3,7,7,11,8,1,2,6,2,1,2,4,2,4,2,3,3,2,2,3,3,4,2,2,5,2,4,0,4,2,5,3,5,0,6,3,2,3,2,4,2,4,3,3,0,0,9,3,9,4,3,3,3,2,3.198113208,2.244229898
0.91,1,1,4,1,0,1,2,0,0,3,2,5,0,5,4,3,3,0,1,2,0,3,4,2,4,1,6,4,3,4,1,4,5,3,4,2,4,2,3,3,2,4,4,4,4,1,6,4,10,3,3,5,3,3,10,11,7,1,2,5,2,1,2,4,3,4,2,2,4,2,2,4,2,3,2,3,2,2,4,0,4,2,5,4,7,0,5,4,2,2,2,4,2,5,3,2,0,0,8,3,8,4,3,3,3,2,3.103773585,2.119879805
0.92,3,1,3,0,0,1,2,0,0,2,2,6,0,7,4,3,3,0,1,2,0,3,4,2,5,0,6,5,2,4,1,3,6,4,3,1,3,2,3,3,2,5,6,3,4,1,4,4,12,4,2,5,3,2,8,12,9,1,2,5,2,1,2,4,3,4,1,2,3,4,2,4,3,4,2,2,2,1,4,0,4,2,5,3,9,0,6,5,2,2,3,4,2,4,3,2,0,0,12,3,8,4,3,3,3,2,3.188679245,2.469290268
0.93,2,1,3,0,0,1,2,0,0,2,2,3,0,3,4,2,3,0,0,2,0,3,4,2,4,0,6,4,3,4,1,4,3,4,5,1,2,2,3,4,2,5,6,4,4,1,4,4,5,4,3,6,2,2,9,13,9,1,2,5,2,0,2,4,2,4,1,2,2,2,2,2,2,4,2,3,3,1,3,0,4,2,6,4,7,0,6,8,2,3,3,4,2,4,3,2,0,0,7,2,10,5,4,3,3,2,3.009433962,2.290748611
0.94,2,1,4,0,0,0,2,0,0,2,2,3,0,5,3,2,3,0,0,2,0,3,3,2,4,0,6,5,3,4,1,4,3,3,4,2,2,2,3,3,2,4,4,4,4,1,4,4,5,3,3,5,2,2,9,9,8,1,2,4,1,0,2,4,3,4,1,3,5,2,2,1,2,2,2,3,4,1,3,0,3,2,7,6,6,0,5,7,2,3,3,4,2,4,2,1,0,0,6,2,9,4,3,3,3,2,2.849056604,2.041439515
0.95,4,0,4,0,0,0,2,0,0,2,1,3,0,8,3,2,2,0,0,2,0,4,3,2,5,0,6,3,6,4,1,6,4,3,5,2,1,2,4,6,3,5,4,4,4,1,2,4,5,8,2,5,2,2,12,11,7,1,2,5,1,0,2,3,2,4,1,4,7,1,2,1,3,4,2,4,2,1,3,0,2,2,7,5,6,0,4,2,3,4,5,4,1,4,2,2,0,0,6,2,10,2,3,3,3,2,3.018867925,2.410220824
0.96,3,0,3,0,0,0,2,0,0,2,1,3,0,8,3,2,2,0,0,2,0,4,3,2,5,0,6,3,6,4,1,5,4,3,5,2,1,2,4,6,4,5,4,4,4,1,5,4,7,4,3,5,2,2,9,9,5,1,2,5,1,0,2,3,2,4,1,3,4,1,1,0,3,3,2,4,2,1,3,0,2,3,16,6,5,0,5,3,3,4,4,4,1,2,2,2,0,0,9,2,8,2,3,3,3,2,2.981132075,2.495638604
0.97,6,0,4,0,0,0,2,0,0,2,0,2,0,7,3,2,3,0,0,2,0,4,4,3,4,0,5,4,4,4,1,3,2,4,2,2,1,2,4,6,3,6,5,5,4,1,6,3,5,3,2,4,1,2,9,10,6,1,2,5,1,0,2,3,1,4,1,3,2,2,1,0,2,5,1,4,2,1,3,0,2,2,5,5,8,0,4,3,3,4,4,4,1,2,2,1,0,0,12,2,4,3,3,3,3,2,2.783018868,2.25517275
0.98,6,0,4,0,0,0,2,0,0,2,0,2,0,6,3,2,2,0,0,2,0,3,4,3,4,0,4,3,5,4,1,5,3,4,2,2,2,2,4,6,3,4,5,5,4,1,6,2,10,6,3,3,1,2,9,10,6,1,2,6,1,0,2,3,2,4,1,4,2,1,0,0,2,5,1,5,4,1,4,0,2,2,4,6,7,0,5,3,3,4,4,4,1,2,2,0,0,0,10,2,4,3,2,3,3,2,2.839622642,2.305838521
0.99,5,0,4,0,0,0,2,0,0,1,0,2,0,5,2,2,2,0,0,2,0,3,4,3,5,0,4,3,6,4,1,4,3,4,3,3,1,2,3,5,3,2,4,4,4,1,3,2,5,7,3,5,1,2,7,9,4,1,2,6,1,0,2,2,3,4,1,3,2,1,0,0,1,4,1,3,4,1,4,0,1,1,3,7,6,0,6,3,3,4,4,4,1,2,2,0,0,0,8,2,6,5,2,3,3,2,2.622641509,2.053813318
