Distance_from_0,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48,Sample 49,Sample 50,Sample 51,Sample 52,Sample 53,Sample 54,Sample 55,Sample 56,Sample 57,Sample 58,Sample 59,Sample 60,Sample 61,Sample 62,Sample 63,Sample 64,Sample 65,Sample 66,Sample 67,Sample 68,Sample 69,Sample 70,Sample 71,Sample 72,Sample 73,Sample 74,Sample 75,Sample 76,Sample 77,Sample 78,Sample 79,Sample 80,Sample 81,Sample 82,Sample 83,Sample 84,Sample 85,Sample 86,Sample 87,Sample 88,Sample 89,Sample 90,Sample 91,Sample 92,Sample 93,Sample 94,Sample 95,Sample 96,Sample 97,Sample 98,Sample 99,Sample 100,Sample 101,Sample 102,Sample 103,Sample 104,Sample 105,Sample 106,MEAN,STD
0.12,5,4,6,6,4,4,5,3,5,4,2,4,4,4,5,6,3,3,4,4,3,4,4,4,3,5,4,3,2,2,3,5,4,3,5,4,4,3,7,2,4,5,5,7,4,3,6,4,5,5,5,3,4,6,6,4,6,4,6,4,4,4,7,3,3,5,3,4,5,4,3,4,4,5,5,5,3,5,3,5,5,5,2,7,5,6,4,5,3,5,4,5,3,6,4,4,2,4,5,6,4,4,8,6,6,5,4.358490566,1.235881634
0.13,4,4,4,6,3,5,6,4,3,4,4,6,3,3,5,5,5,4,7,5,3,3,5,5,3,6,3,4,3,4,2,6,6,5,5,3,3,4,4,4,3,5,6,7,6,5,8,3,4,5,5,4,5,4,4,3,6,7,6,3,4,1,6,4,3,5,5,6,3,4,6,7,2,4,4,3,5,6,3,4,4,6,4,5,4,7,6,5,4,4,5,6,4,7,5,4,3,4,5,4,5,4,7,5,5,3,4.528301887,1.310816156
0.14,6,3,5,5,5,6,4,3,4,4,3,5,5,2,5,5,6,2,6,4,3,3,6,6,4,5,3,10,3,2,5,5,5,5,5,4,3,5,4,4,4,4,4,5,5,6,5,4,2,5,4,4,5,6,6,4,6,5,6,5,4,5,6,6,2,8,5,5,5,5,7,6,4,5,5,4,5,2,3,4,5,6,4,4,4,9,6,4,4,3,2,4,3,5,4,2,3,5,3,5,6,5,7,4,4,4,4.566037736,1.407590768
0.15,5,2,6,5,5,6,4,5,4,4,3,6,5,2,5,6,5,4,5,5,3,3,5,6,4,7,3,5,1,5,7,4,5,5,4,4,4,7,6,4,3,4,5,5,5,5,6,4,6,6,4,3,6,3,7,4,7,5,8,3,2,6,5,7,4,6,4,5,7,6,6,7,2,4,4,4,4,5,2,3,6,8,5,7,4,10,6,3,3,3,3,6,4,7,5,6,4,3,3,7,5,5,8,6,6,2,4.820754717,1.590430728
0.16,4,3,6,5,7,4,4,7,4,3,5,6,6,4,5,5,6,2,6,7,3,2,5,4,3,4,4,5,5,4,5,6,6,3,3,5,5,6,7,4,3,5,6,5,5,6,6,3,6,4,7,4,6,3,5,4,5,5,9,4,5,7,7,5,5,6,6,7,7,4,6,6,4,3,5,4,6,4,5,5,3,7,3,5,5,7,6,5,3,6,6,7,5,6,4,3,5,5,3,7,8,5,5,4,4,3,4.962264151,1.386496292
0.17,5,3,5,6,5,4,4,6,4,4,6,6,5,3,8,7,5,2,5,6,5,5,6,4,4,6,4,4,3,5,4,3,7,5,6,4,6,6,6,3,3,3,5,6,6,4,7,3,5,4,4,5,7,4,6,5,6,5,8,4,3,10,6,4,4,6,6,8,8,6,5,6,3,5,5,3,2,3,5,3,5,6,5,3,6,7,6,5,1,5,5,6,4,6,3,5,4,5,4,6,6,5,5,5,5,4,4.933962264,1.455818329
0.18,6,6,6,7,7,3,5,5,4,4,4,4,5,5,6,5,5,2,6,6,3,5,7,6,5,5,3,4,4,6,3,7,5,6,4,5,5,4,6,3,2,4,5,6,6,6,7,3,6,5,4,5,6,5,6,8,3,6,9,5,2,6,7,7,3,6,5,8,7,6,6,8,4,8,7,5,3,4,5,2,4,6,4,4,4,7,7,6,3,4,5,5,5,6,4,4,4,4,10,9,6,5,6,4,4,3,5.150943396,1.584402864
0.19,7,5,5,7,7,3,5,4,5,4,6,5,4,7,9,6,5,2,7,7,5,6,7,6,5,7,5,5,5,4,3,6,5,6,6,6,3,3,7,4,4,5,5,6,7,5,6,4,4,7,5,4,7,5,5,4,4,5,8,4,4,5,7,7,2,9,6,6,8,6,9,8,4,10,6,4,4,3,2,3,5,6,4,4,5,7,7,8,3,4,5,6,5,6,5,6,5,5,11,8,6,7,3,6,6,2,5.433962264,1.718353963
0.2,5,6,6,6,9,3,3,5,6,4,4,6,6,6,7,6,5,2,5,6,3,6,5,6,4,8,5,4,3,4,3,6,3,6,5,5,6,6,6,4,4,4,6,7,6,7,5,4,5,9,4,3,5,5,6,7,8,6,7,6,4,6,8,8,5,7,3,8,9,6,7,5,4,6,7,4,6,3,5,3,6,6,4,3,5,8,7,6,1,4,5,5,4,4,4,6,4,6,8,10,8,7,6,6,6,2,5.405660377,1.683410947
0.21,6,6,6,6,8,4,4,7,6,4,3,4,5,6,7,7,6,1,4,4,4,5,6,6,4,8,6,3,4,3,4,5,6,6,5,6,6,4,7,4,5,5,4,6,7,5,4,4,5,7,4,4,8,3,9,8,7,5,7,6,3,7,8,3,4,5,6,8,9,7,9,7,4,5,4,4,4,2,4,5,7,6,5,4,4,8,6,7,3,4,2,5,6,6,5,5,3,5,8,7,10,9,5,6,6,3,5.396226415,1.743992384
