Distance_from_0,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48,Sample 49,Sample 50,Sample 51,Sample 52,Sample 53,Sample 54,Sample 55,Sample 56,Sample 57,Sample 58,Sample 59,Sample 60,Sample 61,Sample 62,Sample 63,Sample 64,Sample 65,Sample 66,Sample 67,Sample 68,Sample 69,Sample 70,Sample 71,Sample 72,Sample 73,Sample 74,Sample 75,Sample 76,Sample 77,Sample 78,Sample 79,Sample 80,Sample 81,Sample 82,Sample 83,Sample 84,Sample 85,Sample 86,Sample 87,Sample 88,Sample 89,Sample 90,Sample 91,Sample 92,Sample 93,Sample 94,Sample 95,Sample 96,Sample 97,Sample 98,Sample 99,Sample 100,Sample 101,Sample 102,Sample 103,Sample 104,Sample 105,Sample 106,Sample 107,Sample 108,Sample 109,Sample 110,Sample 111,MEAN,SD
0.69,0,6,11,1,1,0,1,0,2,0,4,1,4,2,1,0,2,4,1,1,0,3,5,4,3,2,3,0,4,1,3,1,2,2,2,2,1,2,3,4,5,5,1,4,3,3,7,2,8,1,2,11,5,1,2,3,5,3,2,2,3,6,3,4,2,1,2,2,5,2,2,3,2,1,6,5,2,2,3,3,7,4,6,5,5,3,3,3,5,4,3,4,5,2,2,4,2,1,1,4,5,2,2,5,2,2,1,1,3,4,1,2.918918919,2.041101018
0.7,0,6,6,2,1,0,2,0,1,0,6,1,5,1,2,0,2,4,0,1,0,2,5,4,2,2,2,0,4,1,3,1,2,1,2,3,1,2,3,5,7,4,1,3,3,4,4,3,10,1,4,11,2,2,2,4,5,3,2,3,3,4,2,7,3,1,2,3,2,2,2,3,2,2,6,3,2,2,4,4,6,5,9,5,4,3,2,3,5,4,4,2,7,3,2,4,3,1,2,3,6,2,2,5,2,2,3,1,3,4,1,2.972972973,2.051427261
0.71,0,5,9,4,0,0,2,0,2,0,4,0,3,1,1,0,2,4,1,1,0,2,5,3,2,2,2,0,5,1,4,1,2,0,2,5,0,2,2,4,6,5,1,3,3,5,4,3,5,1,3,10,3,2,2,5,6,3,4,3,2,9,2,7,3,2,2,2,2,2,2,3,2,2,7,7,2,2,3,3,5,2,9,5,6,2,3,2,6,4,4,3,4,3,2,4,3,2,1,3,8,2,2,3,2,2,3,1,3,4,1,2.972972973,2.1211466
0.72,0,5,5,3,0,0,4,0,1,0,6,0,3,1,2,0,2,2,0,2,0,3,4,3,3,2,3,0,4,1,3,2,2,0,2,2,0,2,6,5,6,2,1,3,2,3,3,2,7,1,1,7,4,1,2,4,3,4,3,3,2,9,2,4,4,3,3,3,2,2,2,3,2,2,7,2,3,2,3,4,3,1,5,4,7,2,3,2,6,3,3,2,4,3,2,4,2,2,2,3,5,2,2,6,3,2,2,2,2,2,1,2.711711712,1.78064027
0.73,0,6,5,2,0,0,4,0,1,0,5,0,3,0,3,0,1,1,0,3,0,3,5,4,2,1,3,0,3,1,3,2,3,0,2,3,0,1,5,5,6,0,1,2,2,3,2,2,6,1,1,7,4,2,2,4,3,4,3,2,2,7,2,6,4,2,2,2,2,3,2,3,3,2,8,4,3,1,3,4,3,3,6,5,3,2,3,5,4,3,3,3,4,3,2,4,3,2,2,3,6,2,2,5,3,2,3,2,3,2,1,2.693693694,1.762192812
0.74,0,9,4,9,0,0,3,0,2,0,4,0,3,0,2,0,1,0,0,1,0,3,3,4,2,1,4,0,3,1,3,2,2,0,5,3,0,1,4,5,6,0,2,1,2,4,2,2,7,1,1,7,3,2,3,4,3,3,2,2,2,5,2,1,4,2,2,2,1,2,2,3,3,2,5,4,3,3,3,3,3,2,6,5,5,2,3,3,9,3,3,4,3,4,3,4,2,2,1,3,4,3,2,5,3,2,3,2,3,3,1,2.666666667,1.898963034
0.75,0,4,4,5,0,0,3,0,1,0,3,0,5,0,3,0,1,0,0,1,1,4,4,3,2,1,5,0,3,1,3,2,2,0,5,2,0,1,4,4,5,0,2,1,2,4,2,2,6,1,1,5,3,2,4,4,3,2,2,2,2,6,2,2,4,2,3,2,3,2,2,3,2,2,9,2,3,3,3,3,4,4,3,4,6,2,3,3,8,3,4,3,3,4,3,3,2,2,1,1,5,3,2,5,3,2,3,2,3,4,1,2.603603604,1.71771137
0.76,0,5,4,2,0,0,3,0,3,0,3,0,3,0,4,0,0,0,0,0,1,3,3,3,2,2,8,0,3,1,3,2,2,0,3,2,0,1,3,2,4,1,2,1,2,4,2,3,5,1,1,4,3,1,4,4,4,4,2,2,2,5,2,2,4,2,2,2,3,2,2,3,2,2,9,2,3,2,3,3,8,3,6,5,7,2,5,4,9,3,3,3,3,4,3,3,2,2,1,1,5,3,2,6,3,2,3,2,3,3,1,2.630630631,1.872906967
0.77,0,2,5,1,0,0,3,0,1,0,3,0,3,0,2,0,0,0,0,0,1,3,3,3,2,2,3,0,3,1,3,2,2,0,2,2,0,1,2,2,6,1,3,0,2,3,2,4,8,1,0,7,3,1,4,3,4,6,3,2,2,4,2,4,4,2,3,2,4,2,2,3,2,2,5,3,3,3,4,3,6,4,4,5,9,1,5,3,8,3,2,2,3,4,3,3,2,2,2,1,4,3,2,4,3,2,4,2,3,4,1,2.54954955,1.817784559
0.78,0,2,5,1,0,0,3,0,1,0,5,0,6,0,4,0,0,0,2,0,1,3,3,3,2,2,3,0,4,1,3,2,2,0,2,4,0,1,1,2,6,0,3,0,2,3,4,4,4,1,0,7,3,1,4,3,3,4,2,2,2,3,2,3,4,2,6,2,4,2,2,4,2,2,5,2,3,2,4,6,6,6,5,6,8,1,4,4,7,3,2,3,2,4,3,3,2,3,3,1,4,3,2,5,3,2,4,2,4,3,1,2.657657658,1.831519466
0.79,0,3,2,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,3,0,0,4,2,3,2,1,3,0,4,1,2,1,1,0,2,4,0,0,1,4,8,0,3,0,2,3,4,3,9,1,0,8,3,0,4,3,3,3,2,2,2,3,2,2,4,2,4,2,4,2,2,4,2,2,6,2,3,5,3,4,6,6,4,2,5,0,4,6,8,3,3,3,3,4,3,3,2,3,3,1,4,2,2,3,3,2,3,2,4,4,2,2.486486486,1.934682802
0.8,0,3,3,0,0,0,3,0,0,0,1,0,3,0,0,0,0,0,1,0,0,3,2,2,2,2,2,0,4,1,2,1,1,0,2,4,0,0,3,3,7,0,3,0,2,2,2,3,7,1,0,6,3,0,5,3,3,3,2,2,2,6,2,5,4,1,4,2,3,3,2,4,2,2,8,2,3,4,3,5,7,4,4,2,4,0,4,6,7,3,2,2,2,4,4,3,2,3,5,1,4,2,2,3,3,2,4,2,3,3,2,2.414414414,1.870675466
0.81,0,3,3,0,0,0,3,0,1,0,3,0,3,0,4,1,0,0,0,1,0,3,3,2,3,2,2,0,5,1,2,1,1,0,2,4,0,0,2,6,7,0,3,0,2,2,3,2,5,1,0,9,3,1,4,3,3,3,2,2,2,6,2,7,4,1,5,2,6,1,2,4,2,1,4,2,2,3,2,4,8,5,3,3,3,0,4,6,6,3,3,2,1,4,4,2,2,3,4,0,4,2,2,2,4,2,3,2,3,5,2,2.477477477,1.920449033
0.82,0,1,4,1,0,0,3,0,0,0,2,0,3,0,5,1,0,0,1,1,0,3,3,2,3,3,2,0,4,1,2,1,1,0,2,3,0,0,2,6,7,0,2,0,2,2,2,2,6,1,0,11,3,3,4,1,3,3,2,1,2,7,2,5,4,1,4,2,5,1,2,4,2,1,4,2,2,3,3,4,4,3,4,3,3,0,5,3,8,3,3,2,2,4,4,2,2,3,5,0,4,2,2,2,4,2,3,3,3,5,2,2.432432432,1.919382579
0.83,0,1,3,1,0,0,2,0,0,0,1,0,5,0,3,0,0,0,2,1,0,4,3,2,3,1,2,0,3,1,1,1,1,0,2,2,0,0,3,4,6,0,2,0,1,2,3,2,9,1,0,10,3,4,4,1,6,3,2,1,2,7,2,3,4,1,4,2,4,2,2,4,2,0,4,2,2,3,3,4,5,7,2,2,4,0,6,4,5,3,2,2,3,4,4,2,2,5,5,0,4,2,2,2,4,2,3,3,3,6,2,2.423423423,1.988830399
0.84,0,2,3,1,0,0,3,0,0,0,0,0,2,0,4,0,0,0,1,0,0,5,2,3,2,1,2,0,3,1,1,1,1,0,2,2,0,0,3,3,5,0,2,0,1,2,3,2,6,1,1,9,2,1,4,1,5,3,2,1,2,5,2,3,4,1,4,2,4,2,2,4,2,0,4,1,2,2,2,4,5,6,2,3,5,0,5,4,4,3,2,2,1,4,4,2,2,3,7,0,5,2,2,4,4,2,3,3,3,7,2,2.27027027,1.843642373
0.85,0,2,4,0,0,0,3,0,0,0,0,0,2,0,4,0,0,0,0,0,0,4,2,3,2,1,3,0,3,1,1,1,1,0,2,2,0,0,4,3,4,0,2,0,1,2,2,2,8,1,1,8,2,0,4,1,6,4,2,1,2,6,2,3,4,1,4,2,4,2,2,4,2,0,4,3,2,2,2,3,8,7,1,2,5,0,5,3,5,3,1,2,1,4,4,2,2,3,4,0,4,2,2,3,4,2,3,3,3,5,2,2.234234234,1.897150758
0.86,0,2,4,1,0,0,3,0,0,0,2,0,3,0,2,0,0,0,1,0,0,4,2,3,2,1,2,0,3,1,1,1,1,0,2,2,0,0,3,3,6,0,2,0,1,2,2,2,6,2,1,9,1,0,4,1,7,2,2,1,2,4,2,3,4,1,4,2,4,3,2,4,2,0,5,3,2,2,2,3,10,6,2,2,5,0,5,3,5,2,1,2,1,4,4,2,2,3,4,0,4,2,1,3,4,2,4,4,3,5,2,2.261261261,1.919809232
0.87,0,2,4,2,0,0,3,0,0,0,1,0,2,0,2,0,0,0,1,0,0,4,3,3,2,1,2,0,4,1,1,1,1,0,2,2,0,0,0,2,3,0,2,0,1,2,2,2,6,2,0,8,2,0,4,1,6,6,2,1,3,4,3,3,4,1,3,2,5,3,2,4,2,0,7,2,2,2,2,3,8,8,2,2,3,0,4,4,6,2,1,2,2,4,4,2,2,4,4,0,4,2,0,6,4,2,4,4,3,5,2,2.279279279,1.950156969
0.88,0,1,4,2,0,0,3,0,0,0,2,0,2,1,4,0,0,0,0,1,0,4,3,3,2,1,2,0,3,1,1,1,1,0,2,4,0,1,3,3,7,0,2,0,1,1,2,2,4,2,0,9,3,1,4,1,6,5,2,1,3,4,3,4,4,0,3,2,5,6,2,4,2,0,8,3,1,2,2,3,7,7,1,2,3,0,4,4,6,3,1,2,3,4,4,2,2,4,4,0,3,2,0,5,4,2,3,4,3,5,3,2.396396396,1.96921433
0.89,0,2,3,4,0,0,3,0,1,0,3,0,2,1,3,0,0,0,0,0,0,4,3,3,2,2,2,0,3,1,1,1,1,0,2,4,0,0,6,3,11,1,2,0,1,1,2,2,3,2,0,9,3,1,4,1,4,4,2,1,3,4,3,4,4,0,3,1,4,3,2,4,2,0,6,3,1,2,2,3,9,6,1,2,3,0,4,3,4,3,1,2,2,4,4,2,2,4,4,0,3,2,0,7,4,1,3,4,3,5,3,2.369369369,2.031246496
0.9,0,1,4,1,0,0,3,0,0,0,2,0,4,0,0,0,0,0,1,1,0,3,3,3,2,2,3,0,3,1,1,1,1,0,3,2,0,0,6,3,6,0,2,0,0,0,3,2,4,2,0,12,1,0,3,1,5,2,2,1,3,3,3,6,4,0,3,1,4,6,2,5,2,0,5,3,2,2,3,3,6,6,1,3,3,0,5,3,4,3,2,2,3,4,3,1,2,4,4,0,3,2,0,3,3,1,4,4,3,4,3,2.243243243,1.973534974
0.91,0,1,3,2,0,0,3,0,0,0,3,0,4,0,0,0,0,0,0,1,0,3,3,3,2,2,4,0,3,1,1,1,0,0,3,3,0,0,2,2,5,0,2,0,0,0,2,2,4,3,0,11,1,1,2,1,3,2,1,1,3,2,3,5,4,0,3,1,5,3,2,4,2,0,3,5,2,2,2,3,10,5,2,4,3,0,4,4,4,3,2,2,1,4,3,1,2,4,5,0,3,2,0,2,3,1,4,4,3,4,3,2.135135135,1.923474538
0.92,0,0,3,2,0,0,3,1,0,0,3,0,5,0,1,0,0,0,0,1,0,3,2,3,2,2,3,0,3,1,1,1,0,0,3,3,0,0,2,2,6,1,2,0,0,0,2,2,5,4,0,13,1,0,2,1,4,2,1,1,3,3,3,4,4,0,3,1,5,3,2,6,2,0,2,8,2,2,2,3,8,7,2,4,2,0,5,4,4,3,1,2,4,4,3,1,2,4,4,0,3,2,0,2,3,1,3,4,3,4,3,2.225225225,2.091909457
0.93,0,0,4,3,0,0,3,1,0,0,2,0,4,0,2,0,0,0,1,0,0,3,3,3,2,1,2,0,3,1,1,0,0,0,3,2,0,0,2,1,6,0,2,0,0,0,3,2,5,4,0,7,0,1,2,2,3,2,1,1,3,5,3,4,4,0,3,1,4,1,2,4,2,0,1,5,2,2,2,3,6,6,2,3,2,0,4,3,4,2,1,2,3,4,3,1,2,4,6,0,2,2,0,2,3,1,3,4,3,4,4,2.027027027,1.723946105
0.94,0,0,5,3,0,0,2,0,0,0,3,0,3,0,2,0,0,0,0,0,0,3,2,3,2,1,2,0,3,1,0,0,0,0,3,2,0,0,2,2,6,0,2,0,0,0,3,2,4,4,0,7,0,0,2,2,3,4,1,2,3,3,3,4,4,0,3,1,4,1,2,4,2,0,3,6,2,3,2,3,3,5,2,5,3,0,4,3,4,2,2,2,3,4,2,1,2,4,5,0,2,2,0,2,3,1,3,4,3,4,4,2.009009009,1.692204025
0.95,0,0,3,2,0,0,2,0,0,0,2,0,4,0,3,0,0,0,0,0,0,3,4,3,1,1,2,0,3,1,0,0,0,0,3,2,0,0,3,2,6,0,2,0,0,0,3,2,4,4,0,9,0,1,2,2,2,4,1,2,3,2,3,4,4,0,3,1,4,1,4,3,2,0,1,6,2,3,1,3,4,6,3,3,5,0,5,3,4,2,2,3,2,3,1,0,3,4,5,0,1,2,0,5,2,1,3,4,3,4,4,2.027027027,1.816387321
0.96,0,0,3,1,0,0,2,0,0,0,4,0,3,0,0,0,0,0,0,0,0,3,2,3,1,0,2,0,3,1,0,0,0,0,3,3,0,0,3,2,4,0,1,0,0,0,2,2,3,4,0,10,0,1,2,2,2,3,1,2,3,2,3,5,4,0,3,1,6,1,4,3,1,0,2,6,2,3,2,4,4,7,3,3,4,0,4,3,4,2,2,4,3,3,1,0,3,4,4,0,1,2,0,7,2,1,3,4,3,4,4,2,1.902151891
0.97,0,0,3,1,0,0,2,0,0,0,3,0,6,0,2,0,0,0,0,0,0,3,2,3,2,0,1,0,3,1,0,0,0,0,2,2,0,0,3,1,3,0,1,0,0,0,2,2,4,4,0,8,0,0,2,2,2,3,1,2,3,3,3,4,4,0,2,1,4,1,4,3,1,0,1,3,2,3,2,4,6,5,3,4,4,0,5,3,4,2,2,4,2,3,1,0,2,4,4,0,1,2,0,3,2,1,3,4,3,4,4,1.882882883,1.720141319
0.98,0,0,3,0,0,0,2,0,0,0,4,0,5,0,1,0,0,0,0,0,0,3,2,3,1,0,1,0,4,1,0,0,0,0,2,1,0,0,4,1,3,0,1,0,0,0,3,2,5,5,0,8,0,0,2,2,2,4,1,2,2,4,3,5,4,0,2,1,4,1,4,3,1,0,1,3,2,3,2,5,6,8,4,3,4,0,5,5,4,2,1,4,3,3,1,0,3,4,4,0,1,2,0,3,2,2,2,4,4,4,4,1.981981982,1.906839279
0.99,0,0,2,0,0,0,2,0,0,0,4,1,3,0,1,1,0,0,0,0,0,2,2,3,1,0,1,0,3,1,0,0,0,0,3,3,0,0,2,1,4,0,1,0,0,0,4,2,2,4,0,11,0,0,2,2,2,4,1,2,2,4,2,4,3,0,1,0,3,1,4,3,1,0,1,4,2,3,2,3,10,4,5,3,3,0,4,4,4,2,1,4,4,2,0,0,2,4,4,0,0,2,0,3,2,2,2,4,2,4,4,1.846846847,1.931547652
1,0,0,2,1,0,0,2,0,0,0,3,0,3,0,1,0,0,0,0,0,0,2,2,2,1,0,1,0,3,1,0,0,0,0,3,2,0,0,1,2,4,0,1,0,0,0,3,2,2,4,0,10,0,0,1,2,2,4,0,2,2,3,2,4,2,0,1,0,3,1,4,3,1,0,1,4,2,3,2,3,9,4,5,3,3,0,4,5,4,2,1,4,2,2,0,0,2,4,4,0,0,2,0,3,2,2,2,4,2,4,4,1.738738739,1.83259236
1.01,0,0,2,1,0,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,0,2,3,2,1,0,1,0,2,1,0,0,0,0,4,1,0,0,1,2,4,0,1,0,0,0,3,2,3,4,0,8,0,1,0,2,2,3,0,2,2,3,1,4,2,0,1,0,2,1,4,2,1,0,1,3,2,3,2,3,9,3,4,3,4,0,5,5,4,2,1,4,3,2,0,0,2,4,4,0,0,2,0,4,2,2,2,4,2,4,4,1.675675676,1.758936467
1.02,0,1,3,2,0,0,1,0,0,0,1,0,3,1,1,0,0,0,0,0,0,2,1,2,1,0,2,0,1,1,0,0,0,0,3,2,0,0,3,1,3,0,1,0,0,0,3,2,5,4,0,7,0,0,0,2,2,3,0,2,1,3,1,4,2,0,1,0,2,1,4,1,1,0,1,3,2,4,2,3,6,4,5,3,4,0,4,5,4,2,1,4,3,2,0,0,2,4,4,0,0,2,0,3,2,2,1,4,2,4,4,1.648648649,1.649510388
1.03,0,0,2,1,0,0,1,0,0,0,0,0,3,1,2,0,0,0,0,0,0,2,1,2,1,0,3,0,2,1,0,0,0,0,3,3,0,0,1,1,4,0,1,0,0,0,3,2,5,4,0,6,0,0,0,2,2,2,0,2,1,4,1,4,2,0,1,0,2,1,4,1,1,0,1,4,2,4,2,3,11,4,5,3,4,0,4,5,4,2,1,4,3,2,0,0,2,4,4,0,0,2,0,4,2,2,1,3,2,3,4,1.675675676,1.829864189
1.04,0,1,3,1,0,0,1,0,0,0,0,0,4,0,2,1,0,0,0,0,0,2,1,2,1,0,2,0,3,1,0,0,0,0,3,3,0,0,2,1,2,0,1,0,0,0,2,2,4,4,0,6,0,0,0,2,2,2,0,1,1,3,1,4,2,0,1,0,2,1,4,1,1,0,2,4,2,4,2,3,7,5,3,3,3,0,4,4,4,2,2,2,4,2,0,0,2,4,4,0,0,2,0,3,2,2,1,3,2,3,4,1.594594595,1.586181111
1.05,0,0,4,2,0,0,1,0,0,0,1,0,4,1,2,1,0,0,0,0,0,1,1,2,1,0,2,0,3,2,0,0,0,0,2,1,0,0,2,1,2,0,1,0,0,0,3,2,3,4,0,6,0,0,0,2,2,2,0,1,1,4,1,5,2,0,1,0,2,2,4,1,1,0,2,5,2,4,2,3,7,4,4,5,3,0,3,5,4,2,2,1,5,2,0,0,2,3,4,0,0,2,0,3,2,2,1,3,2,3,4,1.63963964,1.650304615
1.06,0,0,3,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0,0,0,1,1,1,2,1,0,1,0,2,2,0,0,0,0,2,3,0,0,1,1,3,0,0,0,0,0,3,2,5,4,0,3,1,0,0,2,2,2,0,1,1,6,1,4,2,0,1,0,2,2,4,1,1,0,2,5,2,4,2,3,9,4,4,3,3,0,3,4,6,3,2,0,4,1,0,0,2,3,4,0,0,2,0,3,2,2,1,2,3,3,4,1.576576577,1.708532329
1.07,0,0,1,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,3,2,0,0,0,0,1,2,0,0,1,1,3,0,0,0,0,0,2,2,6,4,0,3,1,0,0,2,2,2,0,1,1,4,1,4,2,0,1,0,2,2,4,0,1,0,2,6,2,4,2,3,8,5,7,4,3,0,3,3,4,3,2,0,3,1,0,0,2,3,5,0,0,2,0,4,1,2,1,2,3,3,4,1.531531532,1.751984951
1.08,0,0,3,1,0,0,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,4,2,0,0,0,0,1,2,0,0,1,1,2,1,0,0,0,0,2,2,4,2,0,6,0,0,0,2,1,2,0,1,1,3,1,4,2,0,1,0,2,3,4,0,1,0,1,4,2,4,2,2,10,4,4,4,3,0,3,4,4,3,2,0,3,0,0,0,2,3,4,0,0,2,0,4,1,2,1,1,3,3,4,1.477477477,1.704789226
1.09,0,0,2,1,0,0,1,0,0,0,1,0,4,0,1,0,0,0,0,0,0,1,1,2,1,0,1,0,2,2,0,0,0,0,2,2,0,0,2,1,2,0,0,0,0,0,2,2,4,2,0,4,0,0,0,2,1,2,0,1,1,4,1,4,2,0,0,0,2,2,4,0,1,0,1,4,2,4,2,3,10,4,4,3,4,0,4,4,4,2,3,0,3,0,0,0,2,3,4,0,0,2,0,4,1,2,1,1,3,2,4,1.441441441,1.666158809
1.1,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,2,2,0,0,0,0,3,1,0,0,4,1,2,0,0,0,0,0,2,2,4,2,0,4,0,0,0,2,1,2,0,1,1,4,1,4,2,0,0,0,1,2,4,0,1,0,1,4,1,3,2,2,7,4,5,3,4,0,2,3,3,2,2,0,4,0,0,0,2,3,4,0,0,2,0,4,1,2,1,1,3,2,4,1.333333333,1.551148157
1.11,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,2,1,1,0,1,0,2,2,0,0,0,0,4,1,0,0,1,2,2,0,0,0,0,0,2,1,4,2,0,4,0,0,0,2,0,2,0,1,1,5,1,4,1,0,0,0,0,2,4,0,0,0,1,3,1,3,2,2,7,4,5,3,3,0,2,4,2,2,3,0,5,0,0,0,3,3,2,0,0,2,0,5,0,2,0,0,3,2,4,1.27027027,1.612146767
1.12,0,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,2,1,1,0,0,0,2,2,0,0,0,0,5,1,0,0,4,2,2,0,0,0,0,0,2,1,4,2,0,3,0,0,0,2,0,2,0,1,1,5,1,4,0,0,0,0,0,2,4,0,0,0,1,4,1,3,2,2,7,3,5,3,4,0,2,4,2,2,2,0,4,0,0,0,3,2,2,0,0,2,0,4,0,3,0,0,3,2,4,1.27027027,1.617775948
1.13,0,0,1,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,0,0,0,0,1,1,0,0,2,3,2,0,0,0,0,0,2,2,4,2,1,2,0,0,0,2,0,2,0,0,1,4,1,4,0,0,0,0,0,3,4,0,0,0,1,4,1,3,2,2,7,4,5,3,3,0,2,5,2,2,3,0,4,0,0,0,2,2,2,0,0,1,0,3,0,3,0,0,3,1,4,1.18018018,1.55035596
1.14,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,3,2,0,0,0,0,2,0,0,0,1,2,3,0,0,0,0,0,2,2,2,2,1,1,0,2,0,2,0,2,0,0,1,3,1,4,0,0,0,0,0,2,3,0,0,0,1,4,1,3,1,2,7,3,7,3,3,0,2,3,2,2,2,0,3,0,0,0,1,2,2,0,0,1,0,3,0,3,0,0,3,1,4,1.099099099,1.482963587
1.15,0,0,2,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,3,1,0,0,2,0,1,2,0,0,0,0,1,1,0,0,1,1,3,0,0,0,0,0,1,2,2,2,1,2,0,0,0,0,0,2,0,0,1,2,1,3,0,0,0,0,0,2,2,0,0,0,1,5,0,3,1,2,5,3,6,2,2,0,2,3,0,2,3,0,4,0,0,0,1,2,2,0,0,1,0,3,0,2,0,0,3,1,4,0.990990991,1.344994055
1.16,0,0,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,1,2,2,2,0,2,0,0,0,0,0,1,0,0,1,2,1,3,0,0,0,0,0,2,2,0,0,0,1,4,0,3,1,2,6,3,5,2,2,0,1,3,0,2,3,0,4,0,0,0,1,2,2,0,0,1,0,2,0,2,0,0,3,1,4,0.90990991,1.318053314
1.17,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,1,2,0,0,0,0,1,0,0,0,2,1,4,0,0,0,0,0,1,1,2,2,0,1,0,0,0,0,0,1,0,0,1,2,1,3,0,0,0,0,0,2,2,0,0,0,1,6,0,3,1,2,6,3,5,2,3,0,1,3,0,2,3,0,7,0,0,0,1,2,2,0,0,1,0,2,0,2,0,0,3,1,4,0.954954955,1.473322697
1.18,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,1,1,2,2,0,3,0,0,0,0,0,1,0,0,1,2,1,2,0,0,0,0,0,2,2,0,0,0,1,5,0,3,1,1,5,3,5,2,2,0,1,3,0,2,4,0,7,0,0,0,1,2,2,0,0,1,0,2,0,2,0,0,3,1,3,0.900900901,1.42033898
1.19,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,4,0,0,0,0,0,1,1,2,2,0,2,0,0,0,0,0,1,0,0,1,2,1,2,0,0,0,0,0,2,2,0,0,0,1,5,0,3,1,1,5,3,4,2,2,0,1,3,0,2,4,0,5,0,0,0,1,2,2,0,0,1,0,2,0,2,0,0,3,1,3,0.891891892,1.377424153
1.2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,1,1,2,2,0,3,0,0,0,0,0,1,0,0,1,2,1,2,0,0,0,0,0,2,2,0,0,0,1,4,0,3,1,1,6,3,4,2,2,0,1,3,0,2,4,0,6,0,0,0,1,2,2,0,0,1,0,1,0,2,0,0,2,0,3,0.81981982,1.30869955
1.21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,1,1,2,2,0,4,0,0,0,0,0,1,0,0,1,2,1,2,0,0,0,0,0,2,2,0,0,0,1,4,0,3,0,1,6,3,4,2,2,0,1,2,0,2,4,0,8,0,0,0,1,2,2,0,0,1,0,1,0,2,0,0,2,0,3,0.855855856,1.438729533
1.22,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,1,1,2,2,0,4,0,0,0,0,0,3,0,0,0,2,1,2,0,0,0,0,0,2,2,0,0,0,1,4,0,2,0,1,6,3,5,2,2,0,1,4,0,2,3,0,6,0,0,0,1,2,2,0,0,1,0,1,0,2,0,0,2,0,1,0.792792793,1.342434133
1.23,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,1,1,2,2,0,3,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,2,2,0,0,0,1,4,0,2,0,1,5,2,4,2,2,0,1,3,0,2,3,0,7,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,2,0,1,0.711711712,1.260500531
