Distance_from_0,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48,Sample 49,Sample 50,Sample 51,Sample 52,Sample 53,Sample 54,Sample 55,Sample 56,Sample 57,Sample 58,Sample 59,Sample 60,Sample 61,Sample 62,Sample 63,Sample 64,Sample 65,Sample 66,Sample 67,Sample 68,Sample 69,Sample 70,Sample 71,Sample 72,Sample 73,Sample 74,Sample 75,Sample 76,Sample 77,Sample 78,Sample 79,Sample 80,Sample 81,Sample 82,Sample 83,Sample 84,Sample 85,Sample 86,Sample 87,Sample 88,Sample 89,Sample 90,Sample 91,Sample 92,Sample 93,Sample 94,Sample 95,Sample 96,Sample 97,Sample 98,Sample 99,Sample 100,Sample 101,Sample 102,Sample 103,Sample 104,Sample 105,Sample 106,Sample 107,Sample 108,Sample 109,Sample 110,Sample 111,MEAN,SD
0.39,2,5,7,5,3,1,3,2,3,9,5,2,7,4,5,2,1,3,5,11,3,4,6,2,2,5,4,3,5,3,3,2,2,3,3,2,1,4,3,6,8,3,2,2,4,6,3,2,9,1,6,12,6,3,3,5,1,3,2,5,1,4,1,6,4,2,3,2,4,5,5,4,7,2,9,8,2,6,2,6,4,7,8,5,3,7,5,3,6,4,3,4,10,4,3,1,4,1,1,3,4,6,2,8,6,1,3,4,4,5,3,4.072072072,2.314820675
0.4,2,5,3,6,3,0,1,2,3,9,4,2,5,4,3,4,1,5,6,10,4,6,4,1,3,5,4,2,5,5,2,2,2,3,3,2,1,4,4,7,6,4,3,2,3,2,3,2,11,1,5,10,6,6,4,4,4,2,2,9,1,6,1,5,4,2,2,2,3,3,6,2,5,1,7,4,2,6,2,4,5,8,8,5,3,5,3,6,6,4,3,2,6,3,4,2,4,1,1,3,6,5,2,7,6,2,3,5,4,4,3,3.900900901,2.165661583
0.41,2,5,3,8,3,0,1,2,4,8,4,2,4,4,3,3,3,4,5,9,5,5,4,2,3,5,5,2,5,3,2,2,2,3,2,3,2,4,6,8,6,4,3,2,3,4,4,2,10,1,6,12,6,4,2,8,4,3,2,6,5,3,1,7,2,2,3,2,5,5,6,4,5,1,7,3,2,6,2,8,6,6,5,4,4,5,3,8,5,4,5,4,7,3,4,1,4,1,3,2,6,5,2,5,5,1,4,5,5,4,2,4.045045045,2.116546876
0.42,3,5,3,7,4,0,1,2,3,9,7,2,3,4,3,2,2,3,7,11,5,3,2,2,5,6,6,2,5,3,3,2,2,3,2,4,2,4,5,7,7,4,3,1,3,4,2,2,11,1,5,12,6,4,3,7,6,4,2,5,1,3,1,6,2,2,3,2,4,5,7,2,6,1,5,2,1,6,1,5,7,8,8,5,6,3,4,6,7,6,4,4,6,4,5,2,4,1,2,2,6,5,2,2,5,3,3,6,2,6,2,4.027027027,2.313829802
0.43,2,4,3,8,5,1,1,3,7,7,5,4,4,4,4,2,1,6,7,8,5,6,3,2,3,5,8,2,5,3,3,2,2,3,2,7,1,4,7,8,7,4,3,2,3,5,7,2,8,1,5,11,7,5,1,5,5,6,1,4,1,4,2,7,3,2,5,3,5,7,5,3,5,2,6,3,1,5,2,3,6,6,7,6,4,6,4,5,5,4,4,7,5,2,4,1,4,1,3,2,7,4,2,3,3,3,6,3,3,7,2,4.162162162,2.117204592
0.44,1,4,3,8,4,0,1,3,6,5,4,4,2,4,4,3,2,3,6,8,5,6,3,3,3,5,7,2,5,3,2,2,2,3,1,7,1,4,6,6,7,4,3,2,3,6,5,2,10,1,6,11,6,5,2,5,5,5,1,6,1,4,1,6,2,1,5,2,7,6,4,3,4,2,9,4,2,3,2,2,3,3,6,5,4,5,3,5,6,5,4,5,7,3,3,2,4,1,2,1,5,4,2,5,3,2,4,5,1,6,1,3.882882883,2.105139765
0.45,1,6,4,8,2,0,1,2,4,5,4,1,5,4,3,3,2,5,5,8,5,8,3,2,2,5,6,2,5,3,4,2,2,2,1,6,1,5,6,5,7,4,3,2,3,5,5,2,9,1,6,12,4,4,2,5,5,4,3,2,1,4,1,5,3,1,6,3,3,5,4,5,4,3,8,2,2,4,1,2,3,4,7,7,4,4,5,5,3,5,4,6,3,2,4,2,4,1,2,2,5,3,3,4,3,2,3,5,1,4,2,3.738738739,2.025795968
0.46,1,6,5,6,1,0,1,2,3,4,4,1,3,4,3,2,3,4,4,7,5,6,3,4,2,6,5,2,5,3,2,2,2,1,1,6,1,5,6,5,7,3,3,2,3,5,6,2,8,1,7,11,4,3,1,5,3,3,3,3,1,3,1,4,2,1,9,4,2,5,4,1,5,3,9,5,2,3,2,2,2,4,9,7,6,3,7,4,5,4,5,5,3,4,2,3,4,1,2,1,8,4,2,5,5,1,1,3,1,2,2,3.621621622,2.157667318
0.47,1,5,6,9,1,0,1,3,2,2,5,1,3,4,2,2,2,4,4,8,5,7,3,5,3,6,5,1,5,2,3,1,2,1,1,4,1,5,6,7,7,3,3,3,3,3,3,2,12,1,4,9,4,2,2,3,3,2,4,4,3,1,3,6,2,1,3,4,4,3,3,3,5,3,8,4,2,3,2,3,3,4,10,7,7,2,2,5,6,4,3,3,8,2,4,2,4,1,2,1,5,3,2,5,4,1,1,3,1,5,2,3.540540541,2.198279425
0.48,1,5,6,11,1,0,1,3,2,2,4,2,5,4,1,3,3,3,5,12,4,8,6,3,3,4,5,2,5,3,5,1,2,1,1,5,1,5,8,7,8,3,2,3,3,4,4,2,10,1,4,9,4,3,2,2,2,4,3,4,2,2,2,2,2,1,4,2,3,3,1,3,5,3,7,2,2,5,3,3,4,5,8,5,7,4,1,7,4,5,4,5,8,4,4,2,4,1,2,1,4,4,2,5,4,1,1,2,1,3,2,3.612612613,2.288990135
0.49,0,5,5,8,1,0,1,3,2,3,3,2,3,4,1,2,2,4,6,5,4,6,5,3,2,4,7,2,5,3,4,1,2,1,1,6,1,5,7,7,9,4,2,3,5,6,4,3,10,1,3,11,4,2,2,4,4,4,4,4,2,4,2,2,2,1,5,2,2,3,4,2,3,3,8,6,2,5,2,1,3,4,5,8,6,7,2,5,7,5,4,5,6,5,3,2,4,1,1,3,3,4,3,4,5,1,4,4,1,3,2,3.657657658,2.125582254
0.5,0,5,6,7,2,0,1,3,3,5,4,2,2,4,2,2,3,4,6,6,4,5,6,4,2,4,8,2,5,3,4,1,2,1,1,4,1,3,8,6,8,4,2,3,4,7,3,2,12,1,3,9,4,2,1,5,2,2,4,5,2,4,2,5,2,1,3,2,2,2,4,4,3,3,8,5,1,3,2,4,2,6,6,9,6,5,2,5,4,4,2,6,9,5,2,2,4,1,1,3,6,4,3,4,4,1,2,4,1,3,3,3.648648649,2.189431843
0.51,0,5,5,7,2,0,1,4,4,4,4,1,4,4,2,3,3,3,6,6,4,10,6,3,2,5,8,2,5,4,2,1,2,1,1,2,1,3,6,5,10,3,2,3,4,5,4,2,13,1,3,9,3,2,2,3,1,3,4,4,2,3,2,5,2,2,3,2,3,2,7,3,2,3,5,4,2,4,2,1,5,2,6,10,8,5,3,5,4,5,6,6,7,4,2,2,5,1,1,3,2,3,3,4,3,1,1,2,1,4,2,3.576576577,2.290492403
0.52,0,5,4,6,2,0,1,4,4,4,2,1,4,4,3,3,5,5,5,4,4,6,4,3,3,6,7,0,5,3,3,1,2,1,2,3,1,3,5,5,9,4,2,3,4,4,4,2,3,1,4,8,4,4,2,4,1,2,4,4,2,6,3,4,2,2,3,2,5,3,3,2,2,2,7,6,2,5,2,1,5,4,6,9,7,3,1,4,4,5,3,4,7,2,2,2,6,1,1,3,4,5,2,3,3,1,1,2,1,3,3,3.396396396,1.869755839
0.53,0,4,5,7,1,0,1,5,2,5,4,1,3,4,2,2,5,3,2,6,3,5,6,4,5,6,7,1,5,2,4,1,3,1,0,3,1,3,5,5,8,4,2,3,4,3,7,2,5,1,5,9,5,4,4,3,2,2,5,4,2,3,3,6,2,2,4,2,3,2,3,2,4,2,7,4,1,4,2,1,6,3,7,9,5,3,1,7,5,4,2,6,4,2,3,2,5,1,1,3,2,4,2,3,3,1,4,2,1,3,3,3.423423423,1.951920032
0.54,0,4,4,7,1,0,1,4,3,4,3,1,4,4,3,2,5,4,1,5,3,5,6,3,6,5,7,1,5,3,2,1,3,0,0,4,1,3,5,4,10,5,2,3,4,5,6,2,4,2,7,11,3,3,3,3,4,3,4,5,4,3,3,7,2,2,2,2,4,2,3,3,3,1,9,4,1,3,3,2,7,2,3,10,4,2,2,9,7,5,4,5,5,2,3,2,4,1,1,3,4,2,3,5,1,1,1,2,1,3,1,3.459459459,2.181674852
0.55,0,4,4,7,1,0,1,3,5,3,2,2,3,5,3,2,5,4,1,4,3,3,11,4,6,6,6,0,5,3,2,1,2,0,0,3,1,3,7,4,8,3,2,3,4,4,5,2,6,2,6,11,2,3,1,3,1,3,4,4,3,3,4,5,2,2,1,2,5,2,3,2,2,1,6,7,2,3,3,1,4,3,5,9,3,2,3,6,8,5,2,6,5,2,4,2,5,1,1,3,4,2,3,4,2,1,1,2,1,2,2,3.315315315,2.157363635
0.56,0,4,4,5,1,0,1,3,5,2,4,1,5,4,2,2,4,5,1,5,2,6,4,5,5,5,8,0,5,3,3,1,2,0,0,4,0,3,6,3,10,3,2,3,4,5,4,2,7,2,7,12,3,2,3,3,1,1,4,4,3,2,3,3,3,2,2,3,3,5,2,3,2,1,7,10,1,3,3,3,5,2,5,8,6,2,1,5,9,5,3,4,5,2,3,3,4,1,2,3,4,3,4,4,3,1,1,1,1,1,2,3.351351351,2.22240103
0.57,0,5,5,6,1,0,1,3,5,2,5,1,4,4,3,2,4,5,1,5,2,6,4,5,3,5,7,0,5,3,4,1,2,0,0,3,1,2,7,3,8,4,2,4,5,2,3,2,10,2,5,11,4,2,3,2,2,2,4,5,3,5,3,4,3,1,2,2,3,2,1,3,2,1,6,5,2,3,3,5,6,3,5,5,4,2,1,9,6,5,2,5,6,1,2,3,3,1,1,4,4,3,4,4,2,1,1,1,2,2,1,3.288288288,2.086264114
0.58,0,4,6,7,1,0,1,2,2,0,6,1,4,4,5,1,4,3,2,5,1,4,4,4,5,5,6,0,5,2,5,1,2,0,0,4,1,2,7,3,8,3,2,4,4,4,5,2,9,1,5,10,3,3,1,2,1,1,3,4,3,4,3,2,3,1,2,3,3,2,1,5,2,1,3,5,2,4,2,4,4,4,6,8,4,4,3,5,4,4,3,7,6,1,3,3,4,1,2,4,2,3,4,6,2,1,1,1,2,4,2,3.216216216,2.024420929
